movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Signs,8/2/02,Thriller/Suspense,PG-13,227965690,330754439
Sen to Chihiro no Kamikakushi,9/20/02,Adventure,PG,10049886,14338992
Moonlight Mile,9/27/02,Drama,PG-13,6830957,9909094
Sweet Home Alabama,9/27/02,Comedy,PG-13,127214072,184521151
Tuck Everlasting,10/11/02,Drama,PG,19161999,27789959
The Santa Clause 2,11/1/02,Comedy,G,139225854,201959095
Treasure Planet,11/27/02,Adventure,PG,38120554,55189145
The Hot Chick,12/13/02,Comedy,PG-13,35081550,50624654
25th Hour,12/19/02,Drama,R,13084595,18325463
The Recruit,1/31/03,Thriller/Suspense,PG-13,52784696,73793522
Shanghai Knights,2/7/03,Adventure,PG-13,60470220,84537962
The Jungle Book 2,2/14/03,Adventure,G,47901582,66966883
Bringing Down the House,3/7/03,Comedy,PG-13,132675402,185481530
Piglet's Big Movie,3/21/03,Comedy,G,23103423,32298812
Ghosts of the Abyss,4/11/03,Documentary,G,17093668,23803108
Holes,4/18/03,Drama,PG,67383924,94203395
The Lizzie McGuire Movie,5/2/03,Comedy,PG,42734455,59743191
Finding Nemo,5/30/03,Adventure,G,380529370,518148559
Pirates of the Caribbean: The Curse o…,7/9/03,Adventure,PG-13,305411224,426967926
Freaky Friday,8/6/03,Comedy,PG,110222438,154090360
Open Range,8/15/03,Western,R,58331254,81547672
Cold Creek Manor,9/19/03,Thriller/Suspense,R,21384035,29895090
Under the Tuscan Sun,9/26/03,Comedy,PG-13,43601508,60944053
Veronica Guerin,10/17/03,Drama,R,1569918,2194759
Brother Bear,10/24/03,Adventure,G,85336277,119218333
The Haunted Mansion,11/26/03,Comedy,PG,75817994,105775678
Calendar Girls,12/19/03,Comedy,PG-13,31011616,42379650
Young Black Stallion,12/25/03,Adventure,G,6751389,9254344
Teacher's Pet: The Movie,1/16/04,Comedy,PG,6491969,8812764
Miracle,2/6/04,Drama,PG,64378093,87392478
Confessions of a Teenage Drama Queen,2/20/04,Comedy,PG,29331068,39816568
Hidalgo,3/5/04,Western,PG-13,67286731,91340921
The Ladykillers,3/26/04,Comedy,R,39692139,53881593
Home on the Range,4/2/04,Comedy,PG,50026353,67910166
The Alamo,4/9/04,Western,PG-13,22406362,30416359
Raising Helen,5/28/04,Comedy,PG-13,37485528,50886144
Around the World in 80 Days,6/16/04,Adventure,PG,24004159,32585356
America's Heart and Soul,7/2/04,Documentary,Not Rated,314000,426246
King Arthur,7/7/04,Adventure,PG-13,51877963,70423706
The Village,7/30/04,Thriller/Suspense,PG-13,114197520,155021748
The Princess Diaries 2: Royal Engagement,8/11/04,Romantic Comedy,G,95149435,129164207
Mr. 3000,9/17/04,Comedy,PG-13,21800302,29593641
The Last Shot,9/24/04,Comedy,R,463730,629502
Ladder 49,10/1/04,Action,PG-13,74541707,101161045
The Incredibles,11/5/04,Adventure,PG,261441092,354488708
National Treasure,11/19/04,Adventure,PG,173005002,234069353
The Life Aquatic with Steve Zissou,12/10/04,Comedy,R,24006726,32198655
Aliens of the Deep,1/28/05,Documentary,G,8968684,11740942
Pooh's Heffalump Movie,2/11/05,Adventure,G,18098433,23801835
The Pacifier,3/4/05,Comedy,PG,113006880,148619029
Ice Princess,3/18/05,Comedy,G,24381334,32064685
A Lot Like Love,4/22/05,Comedy,PG-13,21835784,28716947
The Hitchhiker's Guide to the Galaxy,4/29/05,Comedy,PG,51019112,67096891
Hauru no ugoku shiro,6/10/05,Adventure,PG,4710455,6194870
Herbie: Fully Loaded,6/22/05,Comedy,G,66010682,86812798
Dark Water,7/8/05,Thriller/Suspense,PG-13,25473093,33500491
Sky High,7/29/05,Adventure,PG,63939454,84088854
Valiant,8/19/05,Adventure,G,19478106,25616292
Flightplan,9/23/05,Thriller/Suspense,PG-13,89706988,117960425
The Greatest Game Ever Played,9/30/05,Drama,PG,15331289,20162672
Shopgirl,10/21/05,Drama,R,10284523,13519621
Chicken Little,11/4/05,Adventure,G,135386665,177954661
"The Chronicles of Narnia: The Lion, t…",12/9/05,Adventure,PG,291710957,381557539
Casanova,12/25/05,Drama,R,11304403,14574087
Glory Road,1/13/06,Drama,PG,42647449,54888236
Roving Mars,1/27/06,Documentary,G,10407978,12948025
Annapolis,1/27/06,Drama,PG-13,17127992,22044113
Eight Below,2/17/06,Adventure,PG,81612565,105037235
The Shaggy Dog,3/10/06,Comedy,PG,61123569,78667428
Stay Alive,3/24/06,Horror,PG-13,23086480,29712825
The Wild,4/14/06,Adventure,G,37384046,48114115
Stick It,4/28/06,Comedy,PG-13,26910736,34634731
Goal! The Dream Begins,5/12/06,Drama,PG,4283255,5512647
Cars,6/9/06,Comedy,G,244082982,314140384
Pirates of the Caribbean: Dead Man’…,7/7/06,Adventure,PG-13,423315812,544817142
Step Up,8/11/06,Drama,PG-13,65328121,84078780
Invincible,8/25/06,Drama,PG,57806952,74398864
The Guardian,9/29/06,Action,PG-13,55011732,70801353
Tim Burton's The Nightmare Before Chr…,10/20/06,Musical,PG,24732041,30737517
The Prestige,10/20/06,Thriller/Suspense,PG-13,53089891,68289913
The Santa Clause 3: The Escape Clause,11/3/06,Comedy,G,84500122,108694869
Déjà Vu,11/22/06,Thriller/Suspense,PG-13,64038616,82267038
Apocalypto,12/8/06,Adventure,R,50866635,64959548
Primeval,1/12/07,Adventure,R,10597734,12985302
Bridge to Terabithia,2/16/07,Drama,PG,82234139,100760721
Wild Hogs,3/2/07,Comedy,PG-13,168213584,206110533
The Lookout,3/30/07,Drama,R,4600585,5637048
Meet the Robinsons,3/30/07,Adventure,G,97822171,119860589
The Hoax,4/6/07,Drama,R,7164995,8779196
The Invisible,4/27/07,Thriller/Suspense,PG-13,20568319,25202168
Pirates of the Caribbean: At World’…,5/24/07,Adventure,PG-13,309420425,379129960
Ratatouille,6/29/07,Comedy,G,206445654,252955933
Underdog,8/3/07,Adventure,PG,43760605,53619462
The Game Plan,9/22/07,Comedy,PG,90648202,111010758
Dan in Real Life,10/20/07,Romantic Comedy,PG-13,47642963,58350234
Enchanted,11/21/07,Romantic Comedy,PG,127706877,156074310
National Treasure 2: Book of Secrets,12/21/07,Adventure,PG,219961501,267003525
Hannah Montana/Miley Cyrus: Best of B…,2/1/08,Concert/Performance,G,65281781,76646993
Step Up 2 the Streets,2/14/08,Drama,PG-13,58017783,68118371
College Road Trip,3/7/08,Comedy,G,45610425,53550960
The Chronicles of Narnia: Prince Caspian,5/16/08,Adventure,PG,141621490,166277038
WALL-E,6/27/08,Adventure,G,223808164,262771918
Swing Vote,8/1/08,Comedy,PG-13,16289867,19125841
Goal! 2: Living the Dream...,8/29/08,Drama,PG-13,225067,264247
Miracle at St. Anna,9/26/08,Drama,R,7916887,9295171
Beverly Hills Chihuahua,10/3/08,Comedy,PG,94514402,110932022
Morning Light,10/17/08,Documentary,PG,275093,322979
High School Musical 3: Senior Year,10/24/08,Musical,G,90559416,106308538
Bolt,11/21/08,Comedy,PG,114053759,133702498
Bedtime Stories,12/25/08,Comedy,PG,110101975,128039679
Confessions of a Shopaholic,2/13/09,Romantic Comedy,PG,44277350,49767744
Jonas Brothers: The 3D Concert Experi…,2/27/09,Concert/Performance,G,38174685,38174685
Race to Witch Mountain,3/13/09,Adventure,PG,67172594,75501997
Hannah Montana the Movie,4/10/09,Drama,G,79576189,89443640
Earth,4/22/09,Documentary,G,32011576,35981010
Up,5/29/09,Adventure,PG,293004164,329336681
The Proposal,6/19/09,Romantic Comedy,PG-13,163958031,184288829
G-Force,7/24/09,Adventure,PG,119436770,134246932
Gake no ue no Ponyo,8/14/09,Adventure,G,15090399,16961607
X Games 3D: The Movie,8/21/09,Documentary,PG,1391434,1563976
Walt and El Grupo,9/10/09,Documentary,PG,20521,23064
Surrogates,9/25/09,Action,PG-13,38577772,43361416
Toy Story 3D Double Feature,10/2/09,Adventure,G,30702446,34509545
Disney's A Christmas Carol,11/6/09,Drama,PG,137855863,154927105
Old Dogs,11/25/09,Comedy,PG,49492060,55503929
The Princess and the Frog,11/25/09,Adventure,G,104400899,116316457
When in Rome,1/29/10,Romantic Comedy,PG-13,32680633,34917330
Alice in Wonderland,3/5/10,Adventure,PG,334191110,357063499
Waking Sleeping Beauty,3/26/10,Documentary,PG,80741,86264
The Last Song,3/31/10,Drama,PG,62950384,67258772
Oceans,4/22/10,Documentary,G,19422319,20751600
Prince of Persia: Sands of Time,5/28/10,Action,PG-13,90759676,96971361
Toy Story 3,6/18/10,Adventure,G,415004880,443408255
The Sorcerer's Apprentice,7/14/10,Adventure,PG,63150991,67473105
Step Up 3D,8/6/10,Drama,PG-13,42400223,45302137
Gedo Senki (Tales from Earthsea),8/13/10,Adventure,PG-13,48658,51988
You Again,9/24/10,Comedy,PG,25702053,27461121
Secretariat,10/8/10,Drama,PG,59699513,63781920
Tangled,11/24/10,Adventure,PG,200821936,214388548
Tron: Legacy,12/17/10,Adventure,PG,172062763,183619259
Gnomeo and Juliet,2/11/11,Comedy,G,99967670,106270797
I am Number Four,2/18/11,Adventure,PG-13,55100437,58574607
Mars Needs Moms,3/11/11,Adventure,PG,21392758,22741603
